,season,PRRollman,Isolation,OffRebound,Cut,Postup,Misc,Transition,Spotup,Handoff,OffScreen,PRBallHandler
Lavoy Allen,2015-16,0.172,0.0,0.191,0.22,0.085,0.091,0.085,0.136,0.0,0.0,0.0
LeBron James,2015-16,0.036,0.191,0.036,0.057,0.106,0.058,0.195,0.067,0.019,0.021,0.216
Leandro Barbosa,2015-16,0.0,0.058,0.0,0.036,0.0,0.067,0.273,0.193,0.053,0.156,0.144
Lou Williams,2015-16,0.0,0.093,0.015,0.015,0.0,0.024,0.142,0.103,0.079,0.088,0.437
Luc Mbah a Moute,2015-16,0.075,0.0,0.083,0.248,0.0,0.049,0.184,0.297,0.0,0.0,0.0
Luis Scola,2015-16,0.184,0.0,0.082,0.078,0.155,0.051,0.136,0.294,0.0,0.0,0.0
Luke Babbitt,2015-16,0.0,0.045,0.066,0.0,0.0,0.0,0.139,0.44,0.048,0.108,0.069
Luol Deng,2015-16,0.07,0.043,0.069,0.095,0.067,0.054,0.155,0.355,0.019,0.045,0.029
Manu Ginobili,2015-16,0.0,0.062,0.0,0.068,0.0,0.068,0.098,0.272,0.077,0.079,0.238
Marc Gasol,2015-16,0.221,0.056,0.032,0.082,0.402,0.067,0.019,0.105,0.0,0.014,0.0
Marcelo Huertas,2015-16,0.0,0.031,0.0,0.034,0.0,0.097,0.138,0.119,0.059,0.0,0.484
Marcin Gortat,2015-16,0.231,0.011,0.107,0.314,0.156,0.082,0.076,0.016,0.0,0.0,0.0
Marco Belinelli,2015-16,0.0,0.0,0.0,0.038,0.0,0.047,0.13,0.203,0.093,0.336,0.133
Marcus Morris,2015-16,0.043,0.146,0.043,0.02,0.138,0.069,0.11,0.227,0.033,0.048,0.123
Marcus Smart,2015-16,0.0,0.047,0.067,0.05,0.061,0.081,0.168,0.252,0.059,0.029,0.182
Marcus Thornton,2015-16,0.0,0.046,0.034,0.044,0.0,0.058,0.127,0.286,0.066,0.103,0.254
Mario Chalmers,2015-16,0.0,0.058,0.023,0.023,0.0,0.09,0.152,0.168,0.06,0.024,0.326
Mario Hezonja,2015-16,0.0,0.043,0.026,0.031,0.0,0.057,0.159,0.256,0.074,0.139,0.204
Markel Brown,2015-16,0.0,0.031,0.033,0.045,0.0,0.064,0.172,0.289,0.038,0.088,0.236
Markieff Morris,2015-16,0.159,0.054,0.048,0.059,0.159,0.068,0.069,0.148,0.0,0.068,0.023
Marreese Speights,2015-16,0.218,0.051,0.107,0.102,0.086,0.065,0.07,0.189,0.0,0.107,0.0
Marvin Williams,2015-16,0.148,0.0,0.09,0.064,0.043,0.071,0.081,0.395,0.037,0.046,0.021
Mason Plumlee,2015-16,0.208,0.054,0.114,0.23,0.086,0.125,0.127,0.043,0.0,0.0,0.0
Matt Barnes,2015-16,0.033,0.029,0.062,0.093,0.023,0.086,0.207,0.311,0.031,0.07,0.053
